City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,79.38,moderate rain,-21.2,-175.2,Keleti Beach Resort
1,Faanui,PF,81.57,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,Dingle,PH,78.28,broken clouds,11.0,122.67,SEGAYA PROPERTY
5,Puerto Ayora,EC,76.55,light rain,-0.74,-90.35,Finch Bay Galapagos Hotel
17,Isangel,VU,80.71,overcast clouds,-19.55,169.27,Tanna Lodge
26,Hithadhoo,MV,83.46,clear sky,-0.6,73.08,Scoop Guest House
27,Kloulklubed,PW,75.7,heavy intensity rain,7.04,134.26,Storyboard Beach Resort
38,Arraial Do Cabo,BR,84.16,broken clouds,-22.97,-42.03,Pousada Porto Praia
43,Hervey Bay,AU,75.02,broken clouds,-25.3,152.85,Shelly Bay Resort
44,Avarua,CK,75.25,clear sky,-21.21,-159.78,Paradise Inn
45,Atuona,PF,78.28,few clouds,-9.8,-139.03,Villa Enata
60,Souillac,MU,79.18,broken clouds,-20.52,57.52,Bils' Villa
68,Dhidhdhoo,MV,84.4,scattered clouds,6.88,73.1,Dhidhoo beach
69,Roebourne,AU,85.78,overcast clouds,-20.78,117.13,Latitude20 Roebourne Village
73,Nouadhibou,MR,80.58,sand,20.93,-17.03,El Medina
79,Riohacha,CO,80.71,broken clouds,11.54,-72.91,Hotel Taroa
82,Bambous Virieux,MU,80.22,light rain,-20.34,57.76,Casa Tia Villa
84,Bathsheba,BB,79.79,overcast clouds,13.22,-59.52,Atlantis Hotel
86,Ibia,BR,83.91,clear sky,-19.48,-46.54,Hotel Triângulo
88,Malanje,AO,84.58,broken clouds,-9.54,16.34,Hotel Ginga
91,Georgetown,MY,80.53,scattered clouds,5.41,100.34,Cititel Penang
93,Bo Phloi,TH,88.32,light rain,14.32,99.52,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
107,Lucapa,AO,82.87,broken clouds,-8.42,20.74,Residência Ulisses Dos Santos
109,Biak,ID,77.32,broken clouds,-0.91,122.88,Penginapan Kim
111,West Bay,KY,83.07,few clouds,19.37,-81.42,Calypso Cove
112,Vila Do Maio,CV,77.79,few clouds,15.13,-23.22,Hotel Marilu
113,Sinnamary,GF,80.29,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
114,Vao,NC,78.8,clear sky,-22.67,167.48,Hotel Kou-Bugny
118,Vaitape,PF,81.59,light rain,-16.52,-151.75,Conrad Bora Bora Nui
121,Honiara,SB,78.51,overcast clouds,-9.43,159.95,Heritage Park Hotel
127,Grand Gaube,MU,80.38,overcast clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
134,Bandarbeyla,SO,82.2,clear sky,9.49,50.81,JABIR HOTEL
138,Victoria,HK,75.96,few clouds,22.29,114.16,Mini Hotel Central
139,Islamabad,PK,83.84,clear sky,33.71,73.13,Islamabad Serena Hotel
140,Cam Ranh,VN,75.16,heavy intensity rain,11.92,109.16,OYO 598 Peony Hotel
143,Khuzdar,PK,79.3,clear sky,27.74,66.64,jhalwan Rent A Car Compny Moola Chotok
147,Kavaratti,IN,83.66,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
149,Paragominas,BR,75.18,light rain,-2.97,-47.48,INOVA
159,Bani,DO,78.85,clear sky,18.28,-70.33,Hospedaje Henriquez
160,Menongue,AO,76.89,light rain,-14.66,17.69,Ritz Lauca
168,Vila Velha,BR,88.95,clear sky,-20.33,-40.29,Hotel Vitória Palace
169,Yulara,AU,76.84,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
175,Sorong,ID,78.96,overcast clouds,-0.88,131.25,Waigo Splash Hotel
180,Saint-Joseph,RE,79.18,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
181,Acarau,BR,75.31,overcast clouds,-2.89,-40.12,castelo pizzaria
183,Namatanai,PG,79.43,light rain,-3.67,152.43,Seagulls Inn Namatani
188,Saint-Pierre,RE,80.28,clear sky,-21.34,55.48,Lindsey Hôtel
192,Saint-Philippe,RE,80.19,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
194,Kadhan,PK,89.53,clear sky,24.48,68.99,ڳوٺ چوڌري جلال الدين جٽ
199,Port Hedland,AU,82.45,broken clouds,-20.32,118.57,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
207,Waingapu,ID,78.75,few clouds,-9.66,120.26,Pondok Wisata Elim
218,Wanning,CN,75.07,overcast clouds,18.8,110.4,Paradise Hotel
222,Lagoa Formosa,BR,84.02,few clouds,-18.78,-46.41,Lagoa Hotel
224,Puntarenas,CR,83.41,overcast clouds,9.98,-84.84,Michael's Surfside Hotel
229,Manaus,BR,81.09,broken clouds,-3.1,-60.02,Manaus Hotéis Millennium
234,Butaritari,KI,79.83,light rain,3.07,172.79,Isles Sunset Lodge
241,Kununurra,AU,75.18,scattered clouds,-15.77,128.73,Hotel Kununurra
248,Hobyo,SO,84.24,clear sky,5.35,48.53,Iftin hotel hobyo
253,Namibe,AO,77.63,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
254,Mahebourg,MU,80.26,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
255,Panarukan,ID,76.71,broken clouds,-7.7,113.92,Kampung Nelayan Resort
256,Monte Patria,CL,76.51,clear sky,-30.69,-70.95,Hotel Monte Cordillera
257,Mogadishu,SO,87.67,scattered clouds,2.04,45.34,Hotel Juba
258,Port Keats,AU,81.57,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
261,Kirakira,SB,79.86,overcast clouds,-10.45,161.92,SanBiz Lodge
264,Banda Aceh,ID,81.05,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
265,Cayenne,GF,84.24,broken clouds,4.93,-52.33,Hôtel Le Dronmi
268,Fatehabad,IN,88.12,clear sky,29.52,75.45,Duke Hotel & Restaurant
279,Misratah,LY,81.73,broken clouds,32.38,15.09,Almasa Hotel
280,Abhaynagar,BD,85.53,few clouds,23.01,89.4,Noapara college hostel
281,Amudat,UG,84.2,overcast clouds,1.95,34.95,Silent Night Hotel
289,Touros,BR,84.02,overcast clouds,-5.2,-35.46,INN NEW HORIZON
296,Harper,LR,83.79,light rain,4.38,-7.72,Screensaver
301,Maumere,ID,79.72,clear sky,-8.62,122.21,Sylvia Hotel
302,Manokwari,ID,78.49,light rain,-0.87,134.08,Swiss Belhotel Manokwari
307,Praya,CV,77.54,few clouds,14.92,-23.51,LT Aparthotel
311,Mapiripan,CO,83.59,overcast clouds,2.89,-72.13,Monserrate
312,Catia La Mar,VE,84.99,few clouds,10.6,-67.03,HOTEL PLAYA GRANDE CARIBE
317,Meulaboh,ID,79.27,overcast clouds,4.14,96.13,Kost Pria
324,Batticaloa,LK,82.42,clear sky,7.71,81.69,Grand Star Guest House
328,Mahibadhoo,MV,83.73,clear sky,3.78,72.97,Omadhoo Inn
330,Sao Gabriel Da Cachoeira,BR,75.56,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
332,Paka,MY,78.73,broken clouds,4.64,103.44,RUMBIA RESORT VILLA Paka Terengganu
336,Ambam,CM,83.91,overcast clouds,2.38,11.28,Ambam Séjour
345,Puerto Narino,CO,83.84,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
352,Alugan,PH,80.19,few clouds,12.22,125.48,JM Lodge
353,Escarcega,MX,81.52,clear sky,18.61,-90.75,Hotel Maria Isabel
354,Palu,ID,76.01,broken clouds,-0.89,119.87,Hotel Santika Palu
355,Bowen,AU,77.99,few clouds,-20.02,148.23,Castle Motor Lodge Motel
356,Riberalta,BO,77.2,broken clouds,-10.98,-66.1,Hotel Colonial
357,Samana,DO,79.02,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
362,Praia,CV,77.54,few clouds,14.92,-23.51,LT Aparthotel
363,Bengkulu,ID,79.14,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
364,Tautira,PF,80.47,light rain,-17.73,-149.15,Pension Oaoa
372,Port-Gentil,GA,76.96,few clouds,-0.72,8.78,Fengshui Residence
373,Port Blair,IN,82.44,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
374,Maner,IN,87.71,clear sky,25.65,84.88,Mukesh Sweets
381,Mehriz,IR,77.5,clear sky,31.59,54.43,Mehrgard dwelling/سرای مهرگرد
382,Kavieng,PG,82.02,moderate rain,-2.57,150.8,Nusa Island Retreat
390,Quelimane,MZ,85.95,scattered clouds,-17.88,36.89,Hotel Flamingo
393,Lorengau,PG,80.87,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
399,Cavalcante,BR,84.11,scattered clouds,-13.8,-47.46,Pousada Vila dos Ipês
404,Hukuntsi,BW,86.65,broken clouds,-24.0,21.75,Entabeni Hotel
406,Palatka,US,75.06,scattered clouds,29.65,-81.64,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
409,Mabaruma,GY,76.87,overcast clouds,8.2,-59.78,Monty Brooms Guest House
411,Gizo,SB,83.5,light rain,-8.1,156.84,Imagination Island
412,Andros Town,BS,78.76,clear sky,24.7,-77.77,Hanks place
416,Salalah,OM,83.8,clear sky,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
420,Durban,ZA,82.92,few clouds,-29.86,31.03,Hilton Durban
422,Kalmunai,LK,81.9,clear sky,7.42,81.82,VS Villa
426,Aksum,ET,82.6,clear sky,14.12,38.72,Remhai Hotel
427,Kribi,CM,84.92,light rain,2.95,9.92,La Grace Hôtel
434,San Andres,CO,82.42,scattered clouds,12.58,-81.7,Hotel Arena Blanca
439,Morant Bay,JM,82.71,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
447,Noumea,NC,82.99,clear sky,-22.28,166.46,Hôtel Le Lagon
448,Emerald,AU,75.34,clear sky,-23.53,148.17,The Irish Village
456,Pizarro,CO,80.47,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
460,Kyaikto,MM,82.11,clear sky,17.3,97.02,သက်တန့်အိမ်
462,Bambanglipuro,ID,78.98,overcast clouds,-7.95,110.28,Puri Brata
466,Kulhudhuffushi,MV,84.18,scattered clouds,6.62,73.07,Haajy Guest House 1
467,La Union,PE,76.82,broken clouds,-5.4,-80.75,Los Portales
471,Mananjary,MG,77.22,light rain,-21.22,48.33,Vahiny Lodge
478,Manggar,ID,79.16,broken clouds,-2.88,108.27,Guest Hotel
480,Acucena,BR,81.12,clear sky,-19.07,-42.55,Hotel e Restaurante Açucena
482,Miramar,US,82.02,overcast clouds,25.99,-80.23,Stadium Hotel
485,Bata,GQ,87.66,scattered clouds,1.86,9.77,Hotel Elik Melen
487,San Policarpo,PH,80.76,few clouds,12.18,125.51,Agapita M. Nicart
493,Omboue,GA,81.36,light rain,-1.57,9.26,Hotel Olako
502,Rajpura,IN,85.84,clear sky,30.48,76.59,Royal Residency
508,Itaituba,BR,80.76,broken clouds,-4.28,-55.98,Hotel Campos
511,Mangrol,IN,78.49,clear sky,21.12,70.12,Hotel The Royal Honours
515,Inhambane,MZ,84.18,scattered clouds,-23.86,35.38,Oceano
520,Dwarka,IN,79.39,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
521,Mirai,BR,84.33,few clouds,-21.2,-42.61,Camapuan Palace Hotel
525,Champerico,GT,77.54,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
526,Lhokseumawe,ID,80.56,overcast clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
527,Zempoala,MX,77.92,clear sky,19.45,-96.42,Panteon Cempoala
529,Phan Thiet,VN,78.94,overcast clouds,10.93,108.1,Hotel Saigon-PT
531,Tarpon Springs,US,77.02,overcast clouds,28.15,-82.76,"Innisbrook, A Salamander Golf and Spa Resort"
539,Porciuncula,BR,87.26,clear sky,-20.96,-42.04,Pousada Cordeiro
540,The Valley,AI,80.1,broken clouds,18.22,-63.06,CeBlue Villas & Beach Resort
541,Quatre Cocos,MU,80.1,light rain,-20.21,57.76,Sunrise Attitude Hotel
545,Maracaibo,VE,83.97,overcast clouds,10.63,-71.64,Motel Aladdin
546,Hambantota,LK,79.14,broken clouds,6.12,81.12,Bungalow 63
552,Mongomo,GQ,85.05,light rain,1.63,11.31,NAIM OBUC
554,Elliot,ZA,75.36,broken clouds,-31.33,27.85,Rose Garden Dinner Bed and Breakfast
559,Kimbe,PG,76.91,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
562,Lethem,GY,87.66,broken clouds,3.38,-59.8,Savannah Inn
568,Mahuva,IN,81.57,clear sky,21.09,71.76,Hotel Blue Diamond.
570,Channagiri,IN,86.49,broken clouds,14.03,75.93,Sri Apsara Lodge
572,Borba,BR,75.97,overcast clouds,-4.39,-59.59,Hotel da Amazônia
575,Ciudad Bolivar,VE,84.45,overcast clouds,8.12,-63.55,Hotel Edi
578,Montepuez,MZ,76.95,light rain,-13.13,39.0,RESIDÊNCIAL LANCHONETE
582,Maputo,MZ,85.68,few clouds,-25.97,32.59,Pestana Rovuma
586,Padang,ID,77.99,clear sky,-0.95,100.35,Mercure Padang
588,Cap Malheureux,MU,80.47,overcast clouds,-19.98,57.61,Pereybere Hotel & Spa
589,Esmeraldas,BR,87.91,clear sky,-19.76,-44.31,Bom Será - Marcinho e Fernanda
590,La Romana,DO,79.16,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
599,Nhulunbuy,AU,79.41,clear sky,-12.23,136.77,East Arnhem Real Estate
601,Mlonggo,ID,79.2,overcast clouds,-6.53,110.7,Asia Metal Art
602,Samarai,PG,82.29,light rain,-10.62,150.67,Nuli Sapi
608,Vredendal,ZA,77.54,clear sky,-31.67,18.5,Tharrakamma Guest House
609,Dzilam Gonzalez,MX,82.69,few clouds,21.28,-88.93,Hotel - Video Bar Familiar Otis
611,Matara,LK,79.5,few clouds,5.95,80.54,Amaloh Boutique Resort
614,Cockburn Town,TC,78.76,scattered clouds,21.46,-71.14,Osprey Beach Hotel
625,Savannah Bight,HN,79.79,clear sky,16.45,-85.85,Villa on Dunbar Rock
628,Lahan,NP,82.35,overcast clouds,26.73,86.5,Bhattarai Residence
630,Banjar,ID,77.9,overcast clouds,-8.19,114.97,The Hamsa Resort
634,Bubaque,GW,75.67,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
643,Anjar,IN,88.93,clear sky,23.13,70.02,Manav Residency
646,Labuan,MY,80.96,light rain,5.28,115.24,Tiara Labuan Hotel
648,Severiano Melo,BR,89.19,broken clouds,-5.78,-37.96,Chácara Bela Vista
652,Aracaju,BR,84.15,scattered clouds,-10.91,-37.07,HOTEL FÊNIX
654,Mahmudabad,IN,89.55,clear sky,27.3,81.12,"Haider Services, Baitul Anwar"
658,Xai-Xai,MZ,81.82,clear sky,-25.05,33.64,Platinum Hotel
670,Iquitos,PE,78.84,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
672,Manta,EC,76.78,clear sky,-0.95,-80.73,Balandra Hotel
674,Auki,SB,78.12,overcast clouds,-8.77,160.7,Auki Motel
677,Novo Aripuana,BR,75.87,light rain,-5.12,-60.38,Hotel Ypê
679,Denpasar,ID,83.86,few clouds,-8.65,115.22,Warna Kedaton Hotel and Meetings
685,Kieta,PG,79.23,light rain,-6.22,155.63,Uruna Bay Retreat
687,Barahona,DO,82.22,few clouds,18.21,-71.1,Hotel Caribe
690,Kupang,ID,77.16,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
696,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
697,Boyolangu,ID,77.49,overcast clouds,-8.12,111.89,Yos ega cv
698,Koster,ZA,78.22,clear sky,-25.86,26.9,Klub Kranskuil
701,Aden,YE,81.3,clear sky,12.78,45.04,Sama Emirate Hotel
703,Manavalakurichi,IN,83.23,few clouds,8.13,77.3,Jebinrio home
704,Richards Bay,ZA,81.16,few clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
706,Sechura,PE,75.47,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
